case_id	pr_id	smells_hit	patch_url	case_json_path
pr-6242	6242	schema_version_race	https://github.com/pingcap/tidb/pull/6242.patch	cases/2018/04/pr-6242.json
pr-6950	6950	async_schema_propagation	https://github.com/pingcap/tidb/pull/6950.patch	cases/2018/07/pr-6950.json
pr-14305	14305	async_schema_propagation,schema_version_race	https://github.com/pingcap/tidb/pull/14305.patch	cases/2020/01/pr-14305.json
pr-14976	14976	async_schema_propagation	https://github.com/pingcap/tidb/pull/14976.patch	cases/2020/02/pr-14976.json
pr-16511	16511	async_schema_propagation	https://github.com/pingcap/tidb/pull/16511.patch	cases/2020/04/pr-16511.json
pr-18205	18205	async_schema_propagation,ddl_without_wait	https://github.com/pingcap/tidb/pull/18205.patch	cases/2020/06/pr-18205.json
pr-18468	18468	async_schema_propagation	https://github.com/pingcap/tidb/pull/18468.patch	cases/2020/07/pr-18468.json
pr-19580	19580	schema_version_race	https://github.com/pingcap/tidb/pull/19580.patch	cases/2020/11/pr-19580.json
pr-21491	21491	schema_version_race	https://github.com/pingcap/tidb/pull/21491.patch	cases/2020/12/pr-21491.json
pr-21624	21624	schema_version_race	https://github.com/pingcap/tidb/pull/21624.patch	cases/2020/12/pr-21624.json
pr-21664	21664	schema_version_race	https://github.com/pingcap/tidb/pull/21664.patch	cases/2020/12/pr-21664.json
pr-22307	22307	async_schema_propagation	https://github.com/pingcap/tidb/pull/22307.patch	cases/2021/04/pr-22307.json
pr-24082	24082	async_schema_propagation	https://github.com/pingcap/tidb/pull/24082.patch	cases/2021/04/pr-24082.json
pr-25184	25184	async_schema_propagation,ddl_without_wait	https://github.com/pingcap/tidb/pull/25184.patch	cases/2021/06/pr-25184.json
pr-25384	25384	async_schema_propagation,ddl_without_wait	https://github.com/pingcap/tidb/pull/25384.patch	cases/2021/06/pr-25384.json
pr-37447	37447	async_schema_propagation	https://github.com/pingcap/tidb/pull/37447.patch	cases/2022/08/pr-37447.json
pr-37985	37985	async_schema_propagation	https://github.com/pingcap/tidb/pull/37985.patch	cases/2022/09/pr-37985.json
pr-38906	38906	ddl_without_wait	https://github.com/pingcap/tidb/pull/38906.patch	cases/2022/11/pr-38906.json
pr-39247	39247	ddl_without_wait	https://github.com/pingcap/tidb/pull/39247.patch	cases/2022/11/pr-39247.json
pr-40950	40950	schema_version_race	https://github.com/pingcap/tidb/pull/40950.patch	cases/2023/02/pr-40950.json
pr-42311	42311	ddl_without_wait	https://github.com/pingcap/tidb/pull/42311.patch	cases/2023/03/pr-42311.json
pr-43832	43832	async_schema_propagation,ddl_without_wait	https://github.com/pingcap/tidb/pull/43832.patch	cases/2023/05/pr-43832.json
pr-46816	46816	ddl_without_wait	https://github.com/pingcap/tidb/pull/46816.patch	cases/2023/09/pr-46816.json
pr-46855	46855	async_schema_propagation,ddl_without_wait	https://github.com/pingcap/tidb/pull/46855.patch	cases/2023/09/pr-46855.json
pr-46899	46899	async_schema_propagation,ddl_without_wait	https://github.com/pingcap/tidb/pull/46899.patch	cases/2023/09/pr-46899.json
pr-46908	46908	async_schema_propagation,ddl_without_wait	https://github.com/pingcap/tidb/pull/46908.patch	cases/2023/09/pr-46908.json
pr-46932	46932	async_schema_propagation,ddl_without_wait	https://github.com/pingcap/tidb/pull/46932.patch	cases/2023/09/pr-46932.json
pr-48131	48131	ddl_without_wait	https://github.com/pingcap/tidb/pull/48131.patch	cases/2023/10/pr-48131.json
pr-50076	50076	ddl_without_wait	https://github.com/pingcap/tidb/pull/50076.patch	cases/2024/03/pr-50076.json
pr-51631	51631	ddl_without_wait	https://github.com/pingcap/tidb/pull/51631.patch	cases/2024/03/pr-51631.json
pr-53557	53557	ddl_without_wait	https://github.com/pingcap/tidb/pull/53557.patch	cases/2024/05/pr-53557.json
pr-53688	53688	async_schema_propagation	https://github.com/pingcap/tidb/pull/53688.patch	cases/2024/05/pr-53688.json
pr-54367	54367	async_schema_propagation	https://github.com/pingcap/tidb/pull/54367.patch	cases/2024/07/pr-54367.json
pr-54447	54447	async_schema_propagation	https://github.com/pingcap/tidb/pull/54447.patch	cases/2024/07/pr-54447.json
pr-54514	54514	schema_version_race	https://github.com/pingcap/tidb/pull/54514.patch	cases/2024/09/pr-54514.json
pr-54695	54695	async_schema_propagation	https://github.com/pingcap/tidb/pull/54695.patch	cases/2024/07/pr-54695.json
pr-54958	54958	async_schema_propagation	https://github.com/pingcap/tidb/pull/54958.patch	cases/2024/07/pr-54958.json
pr-55314	55314	async_schema_propagation	https://github.com/pingcap/tidb/pull/55314.patch	cases/2024/08/pr-55314.json
pr-55730	55730	schema_version_race	https://github.com/pingcap/tidb/pull/55730.patch	cases/2024/09/pr-55730.json
pr-55831	55831	async_schema_propagation,ddl_without_wait	https://github.com/pingcap/tidb/pull/55831.patch	cases/2024/11/pr-55831.json
pr-56029	56029	ddl_without_wait	https://github.com/pingcap/tidb/pull/56029.patch	cases/2024/11/pr-56029.json
pr-56327	56327	schema_version_race	https://github.com/pingcap/tidb/pull/56327.patch	cases/2024/09/pr-56327.json
pr-56382	56382	async_schema_propagation,ddl_without_wait	https://github.com/pingcap/tidb/pull/56382.patch	cases/2024/10/pr-56382.json
pr-56786	56786	async_schema_propagation	https://github.com/pingcap/tidb/pull/56786.patch	cases/2024/11/pr-56786.json
pr-57114	57114	async_schema_propagation,ddl_without_wait	https://github.com/pingcap/tidb/pull/57114.patch	cases/2024/11/pr-57114.json
pr-59974	59974	schema_version_race	https://github.com/pingcap/tidb/pull/59974.patch	cases/2025/03/pr-59974.json
pr-62549	62549	async_schema_propagation,ddl_without_wait	https://github.com/pingcap/tidb/pull/62549.patch	cases/2025/08/pr-62549.json
pr-64397	64397	async_schema_propagation,schema_version_race	https://github.com/pingcap/tidb/pull/64397.patch	cases/2025/12/pr-64397.json
pr-65786	65786	async_schema_propagation	https://github.com/pingcap/tidb/pull/65786.patch	cases/2026/01/pr-65786.json
pr-66732	66732	async_schema_propagation	https://github.com/pingcap/tidb/pull/66732.patch	cases/2026/03/pr-66732.json
